game_name,participant ID,trial_no,tool,posx,posy,success,attempt #,Gravity
DoubleDown,1603,27,obj1,370,25,1,2,400
Remove,1603,28,obj1,67,23,0,1,400
Remove,1603,28,obj1,34,18,1,2,400
Basic,1608,1,obj3,54,345,1,1,200
Basic_v2,1608,2,obj1,531,315,0,1,200
Basic_v2,1608,2,obj3,536,99,0,2,200
Basic_v2,1608,2,obj3,553,24.66666412,0,3,200
Basic_v2,1608,2,obj2,519,39,0,4,200
Basic_v2,1608,2,obj2,535,23,0,5,200
Basic_v2,1608,2,obj2,519,23,0,6,200
Basic_v2,1608,2,obj1,535,19,0,7,200
Basic_v2,1608,2,obj2,513,25,0,8,200
Basic_v2,1608,2,obj3,543,7,0,9,200
Basic_v2,1608,2,obj2,550,22,0,10,200
Basic_v2,1608,2,obj2,530,23,0,11,200
Basic_v2,1608,2,obj1,538,19,0,12,200
Backup,1608,3,obj2,276,113,0,1,200
Backup,1608,3,obj1,275,92,1,2,200
BridgeAlt,1608,4,obj1,15,45,1,1,200
Table_B,1608,5,obj2,125,355,0,1,200
Table_B,1608,5,obj3,125,370.6666641,0,2,200
Table_B,1608,5,obj1,129,216,0,3,200
Table_B,1608,5,obj2,186,435,0,4,200
Table_B,1608,5,obj2,184,438,0,5,200
Table_B,1608,5,obj1,121,330,0,6,200
Table_B,1608,5,obj2,122,398,0,7,200
Table_B,1608,5,obj3,119,410,0,8,200
Table_B,1608,5,obj1,353,361,0,9,200
Table_B,1608,5,obj2,118,388,0,10,200
Table_B,1608,5,obj1,228,375,0,11,200
Table_B,1608,5,obj2,188,455,0,12,200
Falling_v2,1608,6,obj3,347,194,0,1,200
Falling_v2,1608,6,obj3,329,85,0,2,200
Falling_v2,1608,6,obj3,332,42,0,3,200
Falling_v2,1608,6,obj2,337,30,0,4,200
Falling_v2,1608,6,obj3,348,43,0,5,200
Falling_v2,1608,6,obj3,342,43,0,6,200
Falling_v2,1608,6,obj3,338,43,0,7,200
Falling_v2,1608,6,obj2,331,27,0,8,200
Falling_v2,1608,6,obj2,322,27,0,9,200
Falling_v2,1608,6,obj1,338,37,0,10,200
Falling_v2,1608,6,obj1,343,36,0,11,200
Falling_v2,1608,6,obj3,338,202,0,12,200
Falling_B,1608,7,obj3,359,184,0,1,200
Falling_B,1608,7,obj3,365,192,0,2,200
Falling_B,1608,7,obj1,240,209,0,3,200
Falling_B,1608,7,obj2,365,175,0,4,200
Falling_B,1608,7,obj2,358,251,0,5,200
Falling_B,1608,7,obj1,390,110,0,6,200
Falling_B,1608,7,obj3,363,210,0,7,200
Falling_B,1608,7,obj3,362,200,0,8,200
Falling_B,1608,7,obj2,239,204,0,9,200
Falling_B,1608,7,obj1,441,194,0,10,200
Falling_B,1608,7,obj1,210,120,0,11,200
Falling_B,1608,7,obj3,343,183,0,12,200
Launch_B,1608,8,obj3,101,310,0,1,200
Launch_B,1608,8,obj1,95,243,0,2,200
